word,count
и,128
в,73
не,51
он,49
юшка,45
на,42
его,32
что,32
а,27
я,21
с,18
ты,18
юшку,18
они,17
у,17
дети,13
за,12
как,12
меня,12
юшки,12
было,11
по,11
же,10
или,10
от,10
к,9
него,9
она,9
тебя,9
все,8
ему,8
их,8
но,8
где,7
говорил,7
когда,7
люди,7
ним,7
них,7
так,7
человек,7
без,6
бы,6
ее,6
им,6
кузнец,6
кузницу,6
чего,6
шел,6
более,5
будешь,5
была,5
были,5
вы,5
глаза,5
год,5
даша,5
девушка,5
жить,5
мне,5
над,5
прохожий,5
сам,5
снова,5
тоже,5
уже,5
уходил,5
это,5
вон,4
время,4
всем,4
грудь,4
да,4
деревню,4
дочь,4
еще,4
из,4
кузницы,4
лето,4
ли,4
ночлег,4
потом,4
правда,4
работал,4
тело,4
теперь,4
то,4
тогда,4
толкали,4
улице,4
хозяина,4
чтоб,4
юшкой,4
белые,3
болезни,3
быть,3
весь,3
вечером,3
взрослый,3
вид,3
во,3
воду,3
городе,3
гостью,3
давно,3
дальнюю,3
делать,3
должно,3
дороге,3
живет,3
живой,3
жизни,3
жил,3
земли,3
знал,3
которые,3
кричали,3
кровь,3
кто,3
любит,3
людей,3
месяц,3
молчал,3
надевал,3
народ,3
нас,3
никто,3
ними,3
ничего,3
носил,3
нужен,3
однако,3
одну,3
опять,3
отвечал,3
по-прежнему,3
потому,3
пошел,3
раз,3
сама,3
своего,3
сказал,3
столяр,3
там,3
тебе,3
тут,3
уж,3
чем,3
юшке,3
бил,2
болезнь,2
больше,2
большие,2
босой,2
бросали,2
был,2
вам,2
вечера,2
взрослые,2
вниз,2
вовсе,2
вправду,2
времени,2
всегда,2
всего,2
всякую,2
говорили,2
горе,2
даже,2
день,2
деньги,2
деревне,2
детства,2
для,2
дмитриевич,2
дмитриевича,2
до,2
долго,2
дочерью,2
думали,2
ефим,2
ефима,2
забывал,2
затем,2
зачем,2
звали,2
земле,2
знают,2
играть,2
идет,2
иногда,2
иной,2
каждый,2
какой,2
камешки,2
кого,2
котомку,2
кузнеца,2
кузнице,2
лежал,2
лет,2
лета,2
летом,2
лица,2
лицом,2
лучше,2
ль,2
любви,2
людям,2
малые,2
место,2
мешочек,2
москву,2
мучила,2
надо,2
небе,2
нее,2
неизвестно,2
нельзя,2
обратно,2
один,2
одно,2
ожесточение,2
окончила,2
ответ,2
отец,2
отчего,2
пил,2
пить,2
плечи,2
плохо,2
помер,2
пора,2
поэтому,2
прежде,2
при,2
приходил,2
проходил,2
прошло,2
работать,2
работу,2
расчету,2
родился,2
ростом,2
рублей,2
самого,2
свете,2
светом,2
свое,2
своей,2
себе,2
себя,2
сердце,2
слепое,2
слушал,2
собой,2
сор,2
спать,2
среди,2
стало,2
старика,2
старый,2
такого,2
такое,2
такой,2
тихо,2
тот,2
ту,2
умершего,2
упрекали,2
утром,2
хлебом,2
ходить,2
хозяин,2
чай,2
чаю,2
человека,2
через,2
чтобы,2
этом,2
августе,1
ага,1
бабочек,1
бежали,1
безлюдно,1
безответно,1
безответную,1
белое,1
благоуханием,1
блажно,1
блузе,1
блузы,1
божье,1
болел,1
больная,1
больнице,1
больно,1
больные,1
больных,1
большой,1
бормочущих,1
бороды,1
боюсь,1
брала,1
бредущего,1
брел,1
будете,1
будили,1
будут,1
будущего,1
бывает,1
бывало,1
бьют,1
валенках,1
валенки,1
вас,1
вводил,1
вдовая,1
вдруг,1
ведь,1
велят,1
верил,1
веселее,1
весело,1
веселые,1
веселый,1
ветки,1
ветхим,1
вешал,1
вздохнул,1
вздыхала,1
взрослых,1
видел,1
видели,1
видно,1
вижу,1
виноват,1
вкруг,1
влага,1
влагой,1
вместе,1
вместо,1
возвращался,1
воздух,1
воздушной,1
возьмет,1
волосы,1
воля,1
вот,1
вот-вот,1
врача,1
всему,1
всех,1
вскоре,1
всматривался,1
вспомнили,1
вставал,1
вставать,1
встретив,1
всю,1
вся,1
всякое,1
входил,1
вырастешь,1
выросла,1
выслушав,1
вытер,1
выучу,1
главного,1
главный,1
гладил,1
глазами,1
глубокой,1
глумление,1
глупость,1
глухую,1
глядел,1
глядели,1
глядя,1
говори,1
говорила,1
говоришь,1
года,1
году,1
годы,1
голова,1
голос,1
гонится,1
горлом,1
горн,1
город,1
города,1
горстями,1
горячее,1
готовы,1
грудная,1
грудью,1
грустно,1
далеко,1
дальней,1
дальше,1
двадцать,1
двору,1
девушка-врач,1
делает,1
делал,1
делали,1
делают,1
дерева,1
деревьях,1
держал,1
детей,1
детям,1
дмитричем,1
доброго,1
догадался,1
долгие,1
должен,1
дома,1
домам,1
доме,1
домов,1
домой,1
дослушав,1
доставшийся,1
дразнили,1
дремал,1
другого,1
другое,1
другой,1
другую,1
думаешь,1
думай,1
душе,1
дыхания,1
дышал,1
дышать,1
евший,1
ей,1
ела,1
если,1
есть,1
ефимом,1
жалованье,1
ждал,1
железо,1
живешь,1
живи,1
животное,1
живу,1
живые,1
живым,1
жизнь,1
жила,1
жили,1
жители,1
жуки,1
жуков,1
забраковали,1
забыли,1
заговорил,1
закону,1
закопченных,1
закричал,1
закрывал,1
закрыл,1
залила,1
замахнувшись,1
замертво,1
заработал,1
заросли,1
затемно,1
звуки,1
здесь,1
здоровый,1
землей,1
землю,1
земля,1
земляной,1
зимой,1
зимою,1
зиму,1
зле,1
злится,1
зло,1
злоба,1
злобы,1
злое,1
злом,1
знавший,1
знала,1
знали,1
значит,1
зрячие,1
иди,1
известно,1
издавали,1
издали,1
искрами,1
испортились,1
испуге,1
истощала,1
ишь,1
июне,1
й,1
каждое,1
казался,1
какого,1
калечат,1
каменных,1
кашей,1
квартире,1
кем,1
кидали,1
кладбище,1
клещами,1
ко,1
ковать,1
кому,1
комья,1
копеек,1
кормивший,1
кормил,1
кору,1
которого,1
которое,1
которой,1
которую,1
который,1
кротко,1
кротости,1
кто-то,1
куда,1
кузне,1
кузнечики,1
кухне,1
ладно,1
ладонью,1
легко,1
лежала,1
леса,1
лесов,1
лечит,1
лечить,1
лице,1
лицо,1
лишняя,1
лишь,1
ложиться,1
лошадь,1
любил,1
любила,1
любимая,1
любите,1
любить,1
любят,1
любят-то,1
людях,1
лютой,1
мал,1
маленькие,1
маленькую,1
мало,1
мастерской,1
матери,1
мебельной,1
меж,1
мертвый,1
местах,1
месяце,1
мехом,1
мешаю,1
мимо,1
много,1
может,1
можно,1
мои,1
молодых,1
молча,1
молчит,1
москве,1
московской,1
мудруй,1
мучают,1
мучил,1
мучить,1
мы,1
мягкое,1
навзничь,1
навсегда,1
надобности,1
называл,1
называли,1
называя,1
найти,1
наковальне,1
накопил,1
наполниться,1
наполнялось,1
насквозь,1
насмешку,1
начинал,1
начинали,1
нашего,1
нашелся,1
нашем,1
нашу,1
невелика,1
негодный,1
неделе,1
недоброжелательство,1
недуга,1
нежно,1
незлобная,1
нему,1
неостывающие,1
непогода,1
непогожий,1
неподвижные,1
непохожий,1
нескольких,1
нестарый,1
нет,1
нету,1
нехорошо,1
ни,1
никогда,1
никому,1
никуда,1
ноги,1
ну,1
нужно,1
нынешнее,1
о,1
об,1
обида,1
обижали,1
обижался,1
облака,1
обождите,1
обувал,1
обыкновенно,1
обычно,1
огородов,1
одежда,1
одежду,1
ожидал,1
ожидала,1
окликали,1
окликнул,1
омыла,1
оплошал,1
опробовал,1
осени,1
осенью,1
осерчал,1
осиротевшим,1
ослабевших,1
особенное,1
оставались,1
осталась,1
останавливали,1
останавливался,1
отбежали,1
отдал,1
отдалять,1
отдельности,1
отдельный,1
отдохни,1
отдохнув,1
отдыхал,1
отдыхала,1
отдышавшись,1
отец-мать,1
отковывал,1
открытые,1
отозвался,1
отправляться,1
отца,1
отцу,1
отцы,1
очнувшись,1
пазуху,1
пали,1
пансионом,1
пару,1
паспорту,1
пахнущих,1
пели,1
первый,1
перекатах,1
переложил,1
переставали,1
песок,1
пешим,1
писался,1
платы,1
племянница,1
плывущие,1
повел,1
повернулся,1
поверх,1
поглядел,1
погонится,1
погребению,1
подбегали,1
поднимали,1
поднялся,1
подобрел,1
подорожного,1
подростками,1
подручным,1
подходил,1
подшивал,1
подымал,1
подымала,1
подымались,1
пожилые,1
позабыв,1
покое,1
покупал,1
покупать,1
полвека,1
поле,1
полежав,1
половина,1
положили,1
полушубок,1
поля,1
поместил,1
помирать,1
помнил,1
помогаю,1
помолчал,1
помощник,1
помощником,1
помудрей,1
понимал,1
понимали,1
понимая,1
понял,1
понятия,1
попадали,1
попали,1
пор,1
поругает,1
после,1
посмеялся,1
поставлен,1
потешались,1
потешался,1
потрогав,1
похоронили,1
почему,1
почувствовал,1
пошевелился,1
предметы,1
приготовил,1
приехала,1
принесла,1
приносил,1
припала,1
приходила,1
приходилась,1
приходились,1
пришел,1
пришла,1
пришли,1
про,1
проведать,1
проведывать,1
прожженных,1
произносила,1
прости,1
проститься,1
просто,1
проходило,1
прошептала,1
прошлой,1
прощай,1
прятаться,1
птицы,1
пугает,1
пусть,1
пути,1
пыли,1
пьяными,1
пять,1
работы,1
работящие,1
равны,1
равнять,1
равняю,1
радовались,1
радовался,1
радости,1
развеселил,1
разговора,1
разговорился,1
раздувал,1
разорвали,1
рано,1
рассердился,1
редкие,1
рек,1
реки,1
родили,1
родителей,1
родителями,1
родные,1
родственники,1
родственница,1
роду,1
рождающиеся,1
росли,1
рот,1
руками,1
руках,1
садился,1
садов,1
сами,1
самое,1
сахар,1
сахара,1
сахаром,1
сахару,1
светлой,1
свету,1
свои,1
свой,1
свою,1
седые,1
сейчас,1
семейство,1
семь,1
сени,1
сердца,1
сердце-то,1
сердцем,1
сердцу,1
серчает,1
серчать,1
серчают,1
серые,1
сестра,1
силой,1
силы,1
сильнее,1
сиротой,1
скажите,1
складывал,1
склонялся,1
скорее,1
скрывал,1
скучно,1
слабел,1
сладкий,1
слезами,1
слезы,1
слепца,1
слишком,1
слов,1
словно,1
слушались,1
слышали,1
смеешь,1
смены,1
смерть,1
смеются,1
смеялась,1
смеялись,1
смирно,1
сморщенном,1
смотрел,1
сначала,1
соглашался,1
солнечным,1
сорок,1
соскучиться,1
состарила,1
состарилась,1
состарились,1
спекшаяся,1
спину,1
спросила,1
сроду,1
срок,1
стал,1
стала,1
стали,1
станок,1
стараясь,1
старик,1
старики,1
старинное,1
старого,1
старухи,1
старые,1
старым,1
сто,1
стол,1
столь,1
стояла,1
страдание,1
страдаю,1
стрекозы,1
судья,1
сумрак,1
сухие,1
существам,1
сырая,1
сюда,1
тайно,1
такая,1
твердый,1
твое,1
твоему,1
те,1
телу,1
темный,1
тень,1
тепле,1
теплом,1
теплоте,1
терзали,1
терзают,1
терпевшего,1
тех,1
того,1
толкнул,1
только,1
тому,1
топчешь,1
трав,1
траве,1
тратились,1
трогал,1
трогали,1
трогать,1
тропинки,1
труд,1
туберкулезные,1
тщедушна,1
тьме,1
убегая,1
убеждался,1
увидев,1
увидел,1
увидя,1
уводила,1
уголь,1
ударив,1
удивился,1
удивлением,1
удивлялись,1
ужинать,1
уйдя,1
улицей,1
улицы,1
умер,1
умеют,1
умирать,1
умирающие,1
уму,1
университет,1
упал,1
усов,1
уста,1
утешает,1
утолять,1
утомляясь,1
утра,1
ухо,1
ученье,1
училась,1
учились,1
ушел,1
ушла,1
хворостину,1
хлынувшая,1
ходил,1
ходила,1
ходишь,1
хозяина-кузнеца,1
хозяину,1
хозяйская,1
хотел,1
хоть,1
хочешь,1
худ,1
худых,1
хуже,1
цветов,1
цветы,1
целовал,1
чахотки,1
чахоточных,1
чего-то,1
черен,1
черных,1
честно,1
чистое,1
чувствовал,1
чувствуя,1
чужое,1
чучело,1
шедшего,1
шестьдесят,1
школу,1
шло,1
штанах,1
щами,1
щеке,1
этой,1
эх,1
юная,1
юрод,1
юшкина,1
яростью,1
